Date,Open,High,Low,Close,Adj Close,Volume
2021-08-18,116.279999,116.739998,115.599998,115.680000,113.156013,4520500
2021-08-19,114.510002,115.070000,113.610001,114.320000,111.825699,5317100
2021-08-20,113.980003,115.000000,113.660004,114.629997,112.128929,3486300
2021-08-23,114.709999,115.459999,114.709999,115.150002,112.637581,4235100
2021-08-24,115.389999,115.849998,114.940002,115.080002,112.569107,3447300
2021-08-25,115.589996,115.989998,115.000000,115.570000,113.048416,3881500
2021-08-26,115.620003,115.769997,113.860001,114.320000,111.825699,5188200
2021-08-27,114.610001,115.389999,114.180000,115.120003,112.608238,4204700
2021-08-30,115.610001,115.820000,114.629997,115.610001,113.087540,3078200
2021-08-31,115.769997,117.599998,115.650002,117.489998,114.926529,6995500
2021-09-01,118.010002,118.330002,117.279999,117.449997,114.887390,4402700
2021-09-02,118.290001,118.360001,116.900002,117.370003,114.809143,3801900
2021-09-03,116.839996,117.580002,116.339996,117.190002,114.633072,2921300
2021-09-07,117.089996,117.129997,115.470001,115.790001,113.263618,4264900
2021-09-08,116.099998,118.190002,115.510002,118.040001,115.464523,5548400
2021-09-09,117.980003,120.070000,117.800003,118.790001,116.198158,4711200
2021-09-10,119.349998,120.760002,118.889999,119.339996,116.736160,6517900
2021-09-13,119.889999,120.150002,118.559998,119.180000,116.579643,4381100
2021-09-14,119.720001,119.860001,118.360001,118.860001,116.266632,4722800
2021-09-15,116.959999,117.019997,113.120003,114.639999,112.138702,11556200
2021-09-16,114.790001,115.269997,113.190002,114.669998,112.168060,7997000
2021-09-17,114.540001,114.849998,113.120003,113.410004,110.935547,9261000
2021-09-20,111.349998,112.269997,110.379997,111.820000,109.380241,7795200
2021-09-21,111.919998,113.599998,111.750000,112.220001,109.771515,5468400
2021-09-22,113.059998,114.029999,112.320000,113.070000,110.602974,4578200
2021-09-23,113.389999,114.709999,113.099998,114.139999,111.649620,3842000
2021-09-24,114.129997,114.860001,113.760002,114.110001,111.620270,3955000
2021-09-27,113.610001,114.669998,112.910004,113.680000,111.199654,3988800
2021-09-28,112.680000,113.000000,111.080002,111.709999,109.272636,5917700
2021-09-29,111.900002,112.519997,111.570000,112.169998,109.722603,4389100
2021-09-30,111.519997,112.160004,110.309998,110.309998,107.903183,5974500
2021-10-01,110.889999,113.459999,110.540001,112.919998,110.456230,5636900
2021-10-04,112.430000,113.080002,111.019997,111.459999,109.028091,4497700
2021-10-05,111.129997,111.480003,110.029999,110.849998,108.431396,5884000
2021-10-06,110.180000,112.019997,109.480003,111.639999,109.204170,5734500
2021-10-07,112.379997,112.980003,112.050003,112.209999,109.761726,5549500
